	F1norm_rprr	alpha	datasetname	knownmodules	method	precision	recall	recovery	relevance	runningtime
36	5.998515558913738	0.2	ecoli_dream5	strict	sota	0.11088598903372897	0.12111361272446125	0.505213819795381	0.3120827425338713	518.3938908576965
37	3.774163658417827	0.2	ecoli_dream5	minimal	sota	0.02379016230603188	0.07667938823474431	0.26489889508859915	0.2246276848245368	518.3938908576965
38	4.263320096388866	0.2	ecoli_dream5	interconnected	sota	0.04033357659340689	0.06553851749492802	0.27686315590465765	0.20908600105534111	518.3938908576965
39	5.222324088113143	0.3	ecoli_dream5	strict	sota	0.10348894609572094	0.10336805970529875	0.40234506531297975	0.2835516339463992	338.6525921821594
40	3.305809224585718	0.3	ecoli_dream5	minimal	sota	0.022066109248742465	0.06685831796621096	0.2156266152330989	0.19542340956035595	338.6525921821594
41	3.7064914279369354	0.3	ecoli_dream5	interconnected	sota	0.0384813662363024	0.05344278993928446	0.2198282709621664	0.1908019986295492	338.6525921821594
42	5.118195336858449	0.4	ecoli_dream5	strict	sota	0.10601659059460128	0.09841629077560546	0.40467120437100534	0.2718159174577309	252.81576490402222
43	3.7015052412812057	0.4	ecoli_dream5	minimal	sota	0.02878525979284737	0.06753279081590559	0.24230323535317796	0.1930291980226164	252.81576490402222
44	4.007473269982402	0.4	ecoli_dream5	interconnected	sota	0.047784920440844564	0.05335904586941697	0.23840500234763815	0.19903924074246043	252.81576490402222
45	4.894403608224351	0.5	ecoli_dream5	strict	sota	0.10151714464409418	0.0919989864801499	0.38512755357735445	0.262574493167717	203.2433750629425
46	3.3781847436737595	0.5	ecoli_dream5	minimal	sota	0.027230962452550654	0.058910647627989705	0.2113938875061454	0.18015713765738908	203.2433750629425
47	3.808913956887309	0.5	ecoli_dream5	interconnected	sota	0.04596685771462748	0.049972293447574666	0.21948378535362803	0.19454557173898748	203.2433750629425
48	4.677283710399371	0.6	ecoli_dream5	strict	sota	0.09985838834767588	0.0865780349086622	0.38449717467015615	0.24302109389524057	177.94242882728577
49	3.0488143024526297	0.6	ecoli_dream5	minimal	sota	0.024412497973983392	0.05195866283033263	0.19967767776367024	0.15911234366565374	177.94242882728577
50	3.343591166029897	0.6	ecoli_dream5	interconnected	sota	0.04205968613354592	0.041370712210392825	0.19988348614388093	0.16648296958905043	177.94242882728577
51	4.428205432701438	0.7	ecoli_dream5	strict	sota	0.09662032361770521	0.08139576159961948	0.35894402411700554	0.23128071622134033	158.57466006278992
52	2.9808203887524662	0.7	ecoli_dream5	minimal	sota	0.02410198766020265	0.050405530043707465	0.19535162139467754	0.1546384772193049	158.57466006278992
53	3.25328099775707	0.7	ecoli_dream5	interconnected	sota	0.04171103180500011	0.04009209803662252	0.19196130477617765	0.16283477494149762	158.57466006278992
54	4.364324869690194	0.8	ecoli_dream5	strict	sota	0.09512166120041954	0.0782353337069471	0.3605505848751764	0.2271305271776837	142.38867807388306
55	3.076366403260654	0.8	ecoli_dream5	minimal	sota	0.0244080142481618	0.05138279816610266	0.20342150733854114	0.16207671718620612	142.38867807388306
56	3.2612608191996455	0.8	ecoli_dream5	interconnected	sota	0.04155911090958923	0.039459437022999026	0.19836796294169895	0.16071665610608976	142.38867807388306
57	4.251102691918421	0.9	ecoli_dream5	strict	sota	0.09560049576644117	0.0741862272631238	0.363025618873058	0.21692091375311223	125.44543409347534
58	3.2392831891388636	0.9	ecoli_dream5	minimal	sota	0.028006528834925656	0.05007430912722597	0.21965723702297676	0.1609185217457514	125.44543409347534
59	3.2395171541736336	0.9	ecoli_dream5	interconnected	sota	0.04531666629928542	0.03658241212809488	0.20233548093610382	0.15553974992063177	125.44543409347534
60	1.4798388155281441	0.05	yeast_gpl2529	strict	sota	0.029567436992833526	0.03342147217273607	0.31934754521963826	0.06649630617140877	2471.3715031147003
61	2.0167020841018988	0.05	yeast_gpl2529	minimal	sota	0.022217083796565878	0.03684424570668859	0.1887395811491617	0.10069905762837071	2471.3715031147003
62	1.6502917054145891	0.05	yeast_gpl2529	interconnected	sota	0.022603558212232262	0.029156996445194622	0.24554397357028934	0.06809393059707144	2471.3715031147003
63	1.4798388155281441	0.1	yeast_gpl2529	strict	sota	0.029567436992833526	0.03342147217273607	0.31934754521963826	0.06649630617140877	2397.579524040222
64	2.0167020841018988	0.1	yeast_gpl2529	minimal	sota	0.022217083796565878	0.03684424570668859	0.1887395811491617	0.10069905762837071	2397.579524040222
65	1.6502917054145891	0.1	yeast_gpl2529	interconnected	sota	0.022603558212232262	0.029156996445194622	0.24554397357028934	0.06809393059707144	2397.579524040222
66	1.7247614494613102	0.2	yeast_gpl2529	strict	sota	0.03112463856526699	0.03872605084687996	0.21799558227206806	0.09469465356720262	2245.8238480091095
67	2.176285432941388	0.2	yeast_gpl2529	minimal	sota	0.023124433719003	0.04236584327506616	0.18001281048156753	0.1168381512540968	2245.8238480091095
68	1.9302281942856747	0.2	yeast_gpl2529	interconnected	sota	0.02405842296567924	0.03316785944840456	0.20003765727449938	0.095080672522193	2245.8238480091095
69	1.6727917204430205	0.3	yeast_gpl2529	strict	sota	0.02770001077885101	0.030313739634671908	0.21075421356281976	0.10410174973900464	1532.6836619377136
70	2.18143941442234	0.3	yeast_gpl2529	minimal	sota	0.021826307921459207	0.0419607449103221	0.18080019100321063	0.12209641471949984	1532.6836619377136
71	1.8268057442911947	0.3	yeast_gpl2529	interconnected	sota	0.022797717911408333	0.028663937465181647	0.1563249434126627	0.1035414560629559	1532.6836619377136
72	1.9777718867905478	0.4	yeast_gpl2529	strict	sota	0.03242807391465479	0.03897889972635227	0.19497571671948566	0.13749396849135484	1227.9593670368195
73	2.3276584451651305	0.4	yeast_gpl2529	minimal	sota	0.02390055626421248	0.04847417895416251	0.16566587128875912	0.13958807427142667	1227.9593670368195
