	F1norm_rprr	alpha	datasetname	delta	knownmodules	method	precision	recall	recovery	relevance	runningtime
89	0.008744753511119547	1.5	ecoli_colombos	0.001	minimal	chengchurch	2.2941038883381594e-05	0.00047501759324419427	0.10714285714285714	0.00742849226968675	1705.034453868866
90	0.037889321707408524	1.5	ecoli_colombos	0.002	strict	chengchurch	0.0001794239340546031	0.0004452926208651399	0.16666666666666666	0.0068525931082492175	1550.4510409832
91	0.0440989364418689	1.5	ecoli_colombos	0.002	interconnected	chengchurch	0.0001393800944961989	0.00037037037037037035	0.16666666666666666	0.007603766144138814	1550.4510409832
92	0.025707770163758803	1.5	ecoli_colombos	0.002	minimal	chengchurch	9.727835741144877e-05	0.00026819923371647505	0.16666666666666666	0.003814165632347451	1550.4510409832
93	0.07228400953111837	1.5	ecoli_colombos	0.005	strict	chengchurch	0.0003475083901966386	0.0008648370289591663	0.11243386243386243	0.012706354731241607	951.5918300151825
94	0.07204756288989163	1.5	ecoli_colombos	0.005	interconnected	chengchurch	0.00022309750038238457	0.0006575963718820862	0.10476190476190476	0.012690693106065777	951.5918300151825
95	0.03487672359878029	1.5	ecoli_colombos	0.005	minimal	chengchurch	0.00011967774288820402	0.000379948914431673	0.0861111111111111	0.010959543507452688	951.5918300151825
96	0.012516836443215081	1.5	ecoli_colombos	0.01	strict	chengchurch	5.1975332095221084e-05	0.0001467997651203758	0.07692307692307693	0.006515201778799737	421.5969500541687
97	0.0113813160273277	1.5	ecoli_colombos	0.01	interconnected	chengchurch	3.076831861318484e-05	0.00010582010582010582	0.06666666666666667	0.006982364083844919	421.5969500541687
98	0.004645464405484448	1.5	ecoli_colombos	0.01	minimal	chengchurch	1.4085235398363977e-05	6.385696040868454e-05	0.05555555555555555	0.006307074818677437	421.5969500541687
99	0.0	1.5	ecoli_colombos	0.02	strict	chengchurch	0.0	0.0	0.0	0.0	168.69374704360962
100	0.0	1.5	ecoli_colombos	0.02	interconnected	chengchurch	0.0	0.0	0.0	0.0	168.69374704360962
101	0.0	1.5	ecoli_colombos	0.02	minimal	chengchurch	0.0	0.0	0.0	0.0	168.69374704360962
102	0.0	1.5	ecoli_colombos	0.05	strict	chengchurch	0.0	0.0	0.0	0.0	30.51905608177185
103	0.0	1.5	ecoli_colombos	0.05	interconnected	chengchurch	0.0	0.0	0.0	0.0	30.51905608177185
104	0.0	1.5	ecoli_colombos	0.05	minimal	chengchurch	0.0	0.0	0.0	0.0	30.51905608177185
105	0.0	1.5	ecoli_colombos	0.1	strict	chengchurch	0.0	0.0	0.0	0.0	14.700167894363403
106	0.0	1.5	ecoli_colombos	0.1	interconnected	chengchurch	0.0	0.0	0.0	0.0	14.700167894363403
107	0.0	1.5	ecoli_colombos	0.1	minimal	chengchurch	0.0	0.0	0.0	0.0	14.700167894363403
108	0.27715745041657064	1.5	ecoli_colombos	0.2	strict	chengchurch	0.022200109268267796	0.0015577882977242572	0.06396588486140725	0.01917314073674355	12.50126314163208
109	0.5231134672290791	1.5	ecoli_colombos	0.2	interconnected	chengchurch	0.02948355277205502	0.0026584799604961735	0.0812720848056537	0.023710312968476942	12.50126314163208
110	0.9229847544422336	1.5	ecoli_colombos	0.2	minimal	chengchurch	0.0515253945954275	0.012195367837856776	0.14795918367346939	0.02375289294267407	12.50126314163208
111	0.3417333030920764	1.5	ecoli_colombos	0.5	strict	chengchurch	0.030716454600705375	0.0019301261610657203	0.079296875	0.02316406751666507	12.743966102600098
112	0.6079808404634665	1.5	ecoli_colombos	0.5	interconnected	chengchurch	0.03871215517636787	0.0032296443764440064	0.08306277056277056	0.02732171556895436	12.743966102600098
113	0.9396386685158884	1.5	ecoli_colombos	0.5	minimal	chengchurch	0.060310435060382986	0.012680752094920898	0.10916442048517519	0.02535872202821808	12.743966102600098
