	F1norm_rprr	datasetname	homogeneity	knownmodules	method	precision	recall	recovery	relevance	runningtime
50	0.5032981666008358	ecoli_colombos	0.8	interconnected	click	0.016148588470645327	0.002478608988805218	0.10434782608695652	0.02322182111043987	135.3895299434662
51	0.0	ecoli_colombos	0.8500000000000001	strict	click	0.0	0.0	0.0	0.0	72.54427909851074
52	0.0	ecoli_colombos	0.8500000000000001	minimal	click	0.0	0.0	0.0	0.0	72.54427909851074
53	0.0	ecoli_colombos	0.8500000000000001	interconnected	click	0.0	0.0	0.0	0.0	72.54427909851074
54	0.0	ecoli_colombos	0.9	strict	click	0.0	0.0	0.0	0.0	70.0570080280304
55	0.0	ecoli_colombos	0.9	minimal	click	0.0	0.0	0.0	0.0	70.0570080280304
56	0.0	ecoli_colombos	0.9	interconnected	click	0.0	0.0	0.0	0.0	70.0570080280304
57	0.0	ecoli_colombos	0.9500000000000001	strict	click	0.0	0.0	0.0	0.0	90.00767707824707
58	0.0	ecoli_colombos	0.9500000000000001	minimal	click	0.0	0.0	0.0	0.0	90.00767707824707
59	0.0	ecoli_colombos	0.9500000000000001	interconnected	click	0.0	0.0	0.0	0.0	90.00767707824707
60	3.7204072294897252	ecoli_colombos	1.0	strict	click	0.11131287023154661	0.07719224192543803	0.3061550858688593	0.18576608103906508	174.91036105155945
61	3.2624045461736264	ecoli_colombos	1.0	minimal	click	0.03846350993730443	0.06474852983620771	0.22429935044564325	0.1325639932348564	174.91036105155945
62	3.9165782999316607	ecoli_colombos	1.0	interconnected	click	0.06831528374619722	0.06501004765966403	0.24045312169674188	0.1775117165676877	174.91036105155945
63	3.2242092766156256	ecoli_dream5	0.0	strict	click	0.0910701589182317	0.05862543599446353	0.2765100383756354	0.15392787700570854	58.50240087509155
64	2.8936751986229954	ecoli_dream5	0.0	minimal	click	0.035037539624238626	0.04549114077307991	0.19003400685724345	0.11860657159583493	58.50240087509155
65	3.0366538792323277	ecoli_dream5	0.0	interconnected	click	0.05464944876344854	0.03771879512664146	0.1938025812031218	0.12911966830911784	58.50240087509155
66	0.38525317326241615	ecoli_dream5	0.05	strict	click	0.027130225395784937	0.0020210038646535254	0.06053749410033593	0.029204727783871464	84.82901096343994
67	1.2315509439070156	ecoli_dream5	0.05	minimal	click	0.03974838957813578	0.01432946287515351	0.15029761904761904	0.03470128378057626	84.82901096343994
68	0.7551998210342155	ecoli_dream5	0.05	interconnected	click	0.03117189021391245	0.003860458777382273	0.10230506545247581	0.03201130208068058	84.82901096343994
69	0.38676707892758216	ecoli_dream5	0.1	strict	click	0.02716884140733928	0.0020308591316818667	0.060689770634522015	0.029302931547133496	75.48102688789368
70	1.2289895375624584	ecoli_dream5	0.1	minimal	click	0.03917527205361664	0.014365422139469624	0.15075794983211532	0.03458755936665826	75.48102688789368
71	0.7475990557731225	ecoli_dream5	0.1	interconnected	click	0.030602946828748773	0.0038226052832946765	0.10220292936451689	0.031619156313761915	75.48102688789368
72	0.38837338083701084	ecoli_dream5	0.15000000000000002	strict	click	0.027382303024925055	0.0020508646315689962	0.060035451322607035	0.029352535737513084	79.4024019241333
73	1.2071143806331124	ecoli_dream5	0.15000000000000002	minimal	click	0.038476999372871475	0.01397341107968631	0.1478132336318581	0.03409699945182379	79.4024019241333
74	0.7351291502180709	ecoli_dream5	0.15000000000000002	interconnected	click	0.029981166300550147	0.0037207525389566227	0.09980996721934535	0.03143150250270141	79.4024019241333
75	1.4840732194219757	ecoli_dream5	0.2	strict	click	0.04718444430904908	0.018745429162169175	0.22016879636422923	0.06300368649314507	77.07146310806274
76	1.681248753844182	ecoli_dream5	0.2	minimal	click	0.03885727918557843	0.020733618961962255	0.1572706354005514	0.05259607685423473	77.07146310806274
77	1.6217369244773931	ecoli_dream5	0.2	interconnected	click	0.0394839423441547	0.0126132697434302	0.17922744730670134	0.06040779511238268	77.07146310806274
78	1.9862792736072896	ecoli_dream5	0.25	strict	click	0.0630783343843026	0.028667594269521767	0.23739369961277804	0.08615879738291393	81.12622809410095
79	2.274964448334564	ecoli_dream5	0.25	minimal	click	0.04034833495267909	0.035112459067830185	0.19866529888773013	0.07189083795445231	81.12622809410095
80	2.222218795120807	ecoli_dream5	0.25	interconnected	click	0.05088837065709248	0.021274749747765855	0.20815774818621427	0.08131223808679448	81.12622809410095
81	1.9139989390582481	ecoli_dream5	0.30000000000000004	strict	click	0.062266441938509894	0.02898801881049559	0.2356355976782408	0.08057159337347661	82.75795388221741
82	2.2021873578436093	ecoli_dream5	0.30000000000000004	minimal	click	0.040165532957351396	0.03457218741783767	0.2114337048972344	0.06663911477246309	82.75795388221741
83	2.19767310582405	ecoli_dream5	0.30000000000000004	interconnected	click	0.050776324839850936	0.021725810923441564	0.22030510672217446	0.07740834594141219	82.75795388221741
84	2.6989242317743036	ecoli_dream5	0.35000000000000003	strict	click	0.07870823181686842	0.048203761761670565	0.2747314060460612	0.11840091070415698	62.2722749710083
