	F1norm_rprr	datasetname	k	knownmodules	method	perccutoff	precision	recall	recovery	relevance	runningtime
780	2.5485496915078096	yeast_gpl2529	450.0	strict	ica_percentage	0.005	0.04341188502806795	0.058578241719245104	0.21267812559172852	0.18418419543419545	1865.1235489845276
781	2.8532284987367063	yeast_gpl2529	450.0	minimal	ica_percentage	0.005	0.03617196416362046	0.0664864951885205	0.13350707964708947	0.233423219518832	1865.1235489845276
782	2.77599777983051	yeast_gpl2529	450.0	interconnected	ica_percentage	0.005	0.04019460234697413	0.05493600289229611	0.14528565422124864	0.2138318865973743	1865.1235489845276
783	0.7070517111632633	yeast_gpl2529	450.0	strict	ica_percentage	0.002	0.006928014696033588	0.018136360275335432	0.29613997113997115	0.038939995189995184	1720.6879251003265
784	1.338141177332415	yeast_gpl2529	450.0	minimal	ica_percentage	0.002	0.006751047035410582	0.026855327031767018	0.23350603006979526	0.10683162755769425	1720.6879251003265
785	0.9055400566945281	yeast_gpl2529	450.0	interconnected	ica_percentage	0.002	0.005941543911537906	0.017216639926782098	0.25770907130556253	0.04801696029766206	1720.6879251003265
786	0.0	yeast_gpl2529	450.0	strict	ica_percentage	0.001	0.0	0.0	0.0	0.0	1817.112102985382
787	0.0	yeast_gpl2529	450.0	minimal	ica_percentage	0.001	0.0	0.0	0.0	0.0	1817.112102985382
788	0.0	yeast_gpl2529	450.0	interconnected	ica_percentage	0.001	0.0	0.0	0.0	0.0	1817.112102985382
789	0.0	yeast_gpl2529	450.0	strict	ica_percentage	0.0005	0.0	0.0	0.0	0.0	1600.7893228530884
790	0.0	yeast_gpl2529	450.0	minimal	ica_percentage	0.0005	0.0	0.0	0.0	0.0	1600.7893228530884
791	0.0	yeast_gpl2529	450.0	interconnected	ica_percentage	0.0005	0.0	0.0	0.0	0.0	1600.7893228530884
792	0.18888828758393822	yeast_gpl2529	500.0	strict	ica_percentage	0.1	0.19093168785241715	0.0007044973651898653	0.09346457136787112	0.16360500600400452	2143.7538108825684
793	0.41710954910817705	yeast_gpl2529	500.0	minimal	ica_percentage	0.1	0.20603287907601425	0.001232459063327475	0.09465598950063218	0.16370032281456004	2143.7538108825684
794	0.2457195059090524	yeast_gpl2529	500.0	interconnected	ica_percentage	0.1	0.1864017637736081	0.0006779947353225245	0.08886100182359118	0.16411592520715962	2143.7538108825684
795	0.8679682374274789	yeast_gpl2529	500.0	strict	ica_percentage	0.05	0.24556098976738464	0.004317162191891225	0.10541829258694728	0.2346705798141205	1965.5361700057983
796	1.3843200234425954	yeast_gpl2529	500.0	minimal	ica_percentage	0.05	0.2571686682936105	0.006243007536086574	0.09406453487888959	0.2293233513592995	1965.5361700057983
797	1.044464300174488	yeast_gpl2529	500.0	interconnected	ica_percentage	0.05	0.24076313056120963	0.003989102766498158	0.09570343702540683	0.23385852922824732	1965.5361700057983
798	2.496610043078132	yeast_gpl2529	500.0	strict	ica_percentage	0.02	0.23034149497366127	0.036589287199514146	0.11826642206127258	0.3177737018514938	2132.600600004196
799	2.7424049880930363	yeast_gpl2529	500.0	minimal	ica_percentage	0.02	0.20720771457403594	0.03994189228906533	0.0942405639572489	0.29378156677042233	2132.600600004196
800	2.594029325707575	yeast_gpl2529	500.0	interconnected	ica_percentage	0.02	0.21499725745060894	0.0290241533080193	0.10052394603570541	0.3109138274167932	2132.600600004196
801	3.154914688618344	yeast_gpl2529	500.0	strict	ica_percentage	0.01	0.15762275340654763	0.07979829460042369	0.14421868654097364	0.3239475259655798	1981.9219770431519
802	3.067577087577419	yeast_gpl2529	500.0	minimal	ica_percentage	0.01	0.11787981726727913	0.07805050529920925	0.1023012244260331	0.2929974382071734	1981.9219770431519
803	3.068939859350778	yeast_gpl2529	500.0	interconnected	ica_percentage	0.01	0.12854202253871375	0.06117405495752666	0.11117639223698227	0.31745564790149894	1981.9219770431519
804	2.8304242458744246	yeast_gpl2529	500.0	strict	ica_percentage	0.005	0.04599427350255155	0.0680187098173554	0.2263418065054509	0.21462653989743777	1998.1086978912354
805	2.7669902720554815	yeast_gpl2529	500.0	minimal	ica_percentage	0.005	0.03591256491809302	0.06598372480337181	0.1289154387395325	0.2218381665991602	1998.1086978912354
806	2.9274569207245213	yeast_gpl2529	500.0	interconnected	ica_percentage	0.005	0.03997505307092983	0.0609459192417909	0.15588224597651773	0.22313530020902037	1998.1086978912354
807	0.7070517111632633	yeast_gpl2529	500.0	strict	ica_percentage	0.002	0.006928014696033588	0.018136360275335432	0.29613997113997115	0.038939995189995184	2221.7248837947845
808	1.3112993451246948	yeast_gpl2529	500.0	minimal	ica_percentage	0.002	0.00684212068244995	0.027563526447007942	0.22068636546461143	0.09796003948658204	2221.7248837947845
809	1.0196420117016478	yeast_gpl2529	500.0	interconnected	ica_percentage	0.002	0.006484320703329383	0.018154706900230615	0.22521115130525887	0.06038164435774841	2221.7248837947845
810	0.0	yeast_gpl2529	500.0	strict	ica_percentage	0.001	0.0	0.0	0.0	0.0	2141.4485189914703
811	0.0	yeast_gpl2529	500.0	minimal	ica_percentage	0.001	0.0	0.0	0.0	0.0	2141.4485189914703
812	0.0	yeast_gpl2529	500.0	interconnected	ica_percentage	0.001	0.0	0.0	0.0	0.0	2141.4485189914703
813	0.0	yeast_gpl2529	500.0	strict	ica_percentage	0.0005	0.0	0.0	0.0	0.0	2068.41556596756
814	0.0	yeast_gpl2529	500.0	minimal	ica_percentage	0.0005	0.0	0.0	0.0	0.0	2068.41556596756
815	0.0	yeast_gpl2529	500.0	interconnected	ica_percentage	0.0005	0.0	0.0	0.0	0.0	2068.41556596756
816	0.16166499240148238	yeast_gpl2529	550.0	strict	ica_percentage	0.1	0.18762924455148253	0.0005951231380686397	0.09451487287732756	0.16117678890186943	2525.2564940452576
817	0.3676897063750633	yeast_gpl2529	550.0	minimal	ica_percentage	0.1	0.20157604099456297	0.0010654620028839024	0.09499010124241926	0.16006824910164583	2525.2564940452576
818	0.21789609224951342	yeast_gpl2529	550.0	interconnected	ica_percentage	0.1	0.1848604152782867	0.000593760511947732	0.09002029714445878	0.1627602092135365	2525.2564940452576
819	0.8378214335885171	yeast_gpl2529	550.0	strict	ica_percentage	0.05	0.24362989442497512	0.004131704776002878	0.10435432324936843	0.22754092590632696	2166.9202008247375
820	1.3012358802301245	yeast_gpl2529	550.0	minimal	ica_percentage	0.05	0.24544156321094332	0.005694606565060094	0.09305899832331992	0.21844554038527525	2166.9202008247375
821	1.005371395069598	yeast_gpl2529	550.0	interconnected	ica_percentage	0.05	0.2382205674626739	0.003779388295018789	0.09540926669291815	0.22959302736478152	2166.9202008247375
