	F1norm_rprr	cutoff	datasetname	k	knownmodules	m	method	precision	recall	recovery	relevance	runningtime
1729	0.0	0.05	yeast_dream5	225.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	462.56168007850647
1730	0.0	0.05	yeast_dream5	225.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	462.56168007850647
1731	0.0	0.05	yeast_dream5	225.0	minimal	1.02	cmeans	0.0	0.0	0.0	0.0	487.75663018226624
1732	0.0	0.05	yeast_dream5	225.0	interconnected	1.02	cmeans	0.0	0.0	0.0	0.0	487.75663018226624
1733	0.0	0.05	yeast_dream5	225.0	strict	1.02	cmeans	0.0	0.0	0.0	0.0	487.75663018226624
1734	2.0410003249347843	0.05	yeast_dream5	225.0	minimal	1.05	cmeans	0.009611161442722638	0.042319888707230184	0.09063031527327567	0.12268923886208287	499.16858100891113
1735	2.0878216482821164	0.05	yeast_dream5	225.0	interconnected	1.05	cmeans	0.012827449477051387	0.025296678724722743	0.10049528679745146	0.11708956622132134	499.16858100891113
1736	1.9432958577082509	0.05	yeast_dream5	225.0	strict	1.05	cmeans	0.016618350315351527	0.02767334599074619	0.1440497169240421	0.13158158243823578	499.16858100891113
1737	2.3295984101763922	0.05	yeast_dream5	225.0	minimal	1.1	cmeans	0.013970592553530793	0.04101524860435229	0.08918027328311606	0.13951814229896142	516.6549649238586
1738	2.4082827632153956	0.05	yeast_dream5	225.0	interconnected	1.1	cmeans	0.021150118664786857	0.026857778749800703	0.09431559763363496	0.1451821291235059	516.6549649238586
1739	2.264419055645277	0.05	yeast_dream5	225.0	strict	1.1	cmeans	0.027224671035189333	0.03582578472775023	0.11992121392488132	0.164004192555442	516.6549649238586
1740	0.0	0.05	yeast_dream5	275.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	610.2589900493622
1741	0.0	0.05	yeast_dream5	275.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	610.2589900493622
1742	0.0	0.05	yeast_dream5	275.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	610.2589900493622
