	F1norm_rprr	datasetname	k	knownmodules	method	precision	recall	recovery	relevance	runningtime
27	5.677152122979125	ecoli_colombos	250.0	strict	divisive	0.16859900460579003	0.15271925548134993	0.37941365080987366	0.3061871523519485	42.83361887931824
28	3.9259041674633526	ecoli_colombos	250.0	minimal	divisive	0.0364994047140478	0.08772672818333553	0.22810946172067967	0.2013388223665152	42.83361887931824
29	4.481591978294705	ecoli_colombos	250.0	interconnected	divisive	0.06847616121803783	0.0895181258006504	0.24598565960791335	0.22028184009413926	42.83361887931824
30	6.089698896888888	ecoli_colombos	275.0	strict	divisive	0.17749479576868332	0.1671883657379546	0.40667246629994475	0.32839441812539083	43.004148960113525
31	3.9135137034192558	ecoli_colombos	275.0	minimal	divisive	0.03632845031764694	0.08655485530028455	0.23035329587937747	0.1993640391885875	43.004148960113525
32	4.558529377067541	ecoli_colombos	275.0	interconnected	divisive	0.06870854316466864	0.09213666247507538	0.2503451836892337	0.2243015856441811	43.004148960113525
33	5.989937140825908	ecoli_colombos	300.0	strict	divisive	0.1629813074013686	0.15727675760831214	0.4178659892730253	0.32068260436186946	43.36841082572937
34	3.848307233011281	ecoli_colombos	300.0	minimal	divisive	0.03447187770820158	0.08416233498464341	0.23148956993023717	0.19876660229980866	43.36841082572937
35	4.422779708374589	ecoli_colombos	300.0	interconnected	divisive	0.06150768482668739	0.08629614663342416	0.2515270934966425	0.21891536161299913	43.36841082572937
36	2.6502229739602274	ecoli_dream5	25.0	strict	divisive	0.0636010398468357	0.035967679174049645	0.21795507513098966	0.1505794590850289	52.797065019607544
37	2.4027310444954373	ecoli_dream5	25.0	minimal	divisive	0.023246556954952643	0.03537771782056772	0.1567158260338005	0.11547026385320619	52.797065019607544
38	2.5095383958366906	ecoli_dream5	25.0	interconnected	divisive	0.03738663172002704	0.024572492269604652	0.16025640254457366	0.123771140445516	52.797065019607544
39	3.155693160874859	ecoli_dream5	50.0	strict	divisive	0.07302985994323224	0.048480015715551245	0.24532420787882434	0.17828092611388538	52.975741147994995
40	2.5773807893044727	ecoli_dream5	50.0	minimal	divisive	0.024117646190577133	0.04071191547082378	0.15325113785983502	0.13233198231386312	52.975741147994995
41	2.819764489954163	ecoli_dream5	50.0	interconnected	divisive	0.040149370472761604	0.030516490138545366	0.16595772643275655	0.1439148256014669	52.975741147994995
42	3.8340579980765193	ecoli_dream5	75.0	strict	divisive	0.08954970182307555	0.066914566065327	0.287208688270692	0.2112488587617424	52.498351097106934
43	2.7981295266403468	ecoli_dream5	75.0	minimal	divisive	0.024588836032566126	0.04789851388536443	0.16029610254021281	0.15079908017222243	52.498351097106934
44	3.050635423212275	ecoli_dream5	75.0	interconnected	divisive	0.043149230823761535	0.036816637956077904	0.16338206106961584	0.1622511960314543	52.498351097106934
45	4.540628754638134	ecoli_dream5	100.0	strict	divisive	0.10640969208421348	0.08827841929580056	0.31846905605616266	0.253281437804229	53.06857705116272
46	3.173134068216775	ecoli_dream5	100.0	minimal	divisive	0.02604852135506751	0.057632038445609955	0.18491745830293418	0.17432117359942476	53.06857705116272
47	3.6363714682692976	ecoli_dream5	100.0	interconnected	divisive	0.049038864410997134	0.04977119831929867	0.19099131113625922	0.19082224019407626	53.06857705116272
48	4.718409950279664	ecoli_dream5	125.0	strict	divisive	0.11199501909413612	0.09517753970460982	0.31648202633563904	0.26884574124985644	52.90850210189819
49	3.4385885735320856	ecoli_dream5	125.0	minimal	divisive	0.02622855501495122	0.06960013202353396	0.1943182419634617	0.20035928917269696	52.90850210189819
50	3.8300463808293745	ecoli_dream5	125.0	interconnected	divisive	0.051635507089094375	0.055511585971580485	0.19472445411886483	0.20347426389350737	52.90850210189819
51	4.882280978743594	ecoli_dream5	150.0	strict	divisive	0.11501765411364398	0.10185507181291285	0.3232184517173007	0.278900603195479	53.22274899482727
52	3.701230086095145	ecoli_dream5	150.0	minimal	divisive	0.02873623376382893	0.0752212089176246	0.20480146917763403	0.21602022971096316	53.22274899482727
53	3.9720057448998713	ecoli_dream5	150.0	interconnected	divisive	0.05238154123950127	0.05836312662372633	0.2016084810819972	0.21217207677720318	53.22274899482727
54	4.910004252951444	ecoli_dream5	175.0	strict	divisive	0.11298820666746766	0.10089935848961121	0.330292074509526	0.27982881998626885	53.10922408103943
55	3.662642953387892	ecoli_dream5	175.0	minimal	divisive	0.02796737482667505	0.07599743710307359	0.2010479653209177	0.2176470087502807	53.10922408103943
56	3.924467618134521	ecoli_dream5	175.0	interconnected	divisive	0.05089729542728147	0.057430668847063486	0.19885682734758803	0.21173528213839923	53.10922408103943
57	4.8973067986106305	ecoli_dream5	200.0	strict	divisive	0.11094546895532396	0.09839299730826488	0.34265462001530106	0.2733753968661791	52.8041570186615
